lambda,co2,surplus
0.0,115835.71936959263,532596.2579483724
0.3,116086.20513578439,530282.5302728335
0.6,116080.8862822058,530378.3061252905
0.8999999999999999,116066.28575966296,530480.875630394
1.2,116084.69045800873,530379.6176983581
1.5,116040.5535584281,530970.4585043925
